state_class,config,bits_per_magnitude,bits_per_phase,sample_idx,fidelity,compression_ratio
haar,wht,2,2,0,0.9999999999999989,1.0
haar,wht_mag,2,2,0,0.9808013843427854,1.8754578754578755
haar,wht_mag_phase,2,2,0,0.7920644866280856,15.515151515151516
haar,full,2,2,0,0.8409318915396233,12.337349397590362
haar,wht,3,3,0,0.9999999999999989,1.0
haar,wht_mag,3,3,0,0.9947893672534105,1.8156028368794326
haar,wht_mag_phase,3,3,0,0.9456475448933142,10.24
haar,full,3,3,0,0.9576762700634402,8.752136752136753
haar,wht,4,4,0,0.9999999999999989,1.0
haar,wht_mag,4,4,0,0.998358132276943,1.7534246575342465
haar,wht_mag_phase,4,4,0,0.9858500527139602,7.529411764705882
haar,full,4,4,0,0.9888523749206358,6.69281045751634
haar,wht,2,2,1,1.0000000000000004,1.0
haar,wht_mag,2,2,1,0.9770299068013862,1.8754578754578755
haar,wht_mag_phase,2,2,1,0.8044092880401076,15.515151515151516
haar,full,2,2,1,0.8512003463595488,12.337349397590362
haar,wht,3,3,1,1.0000000000000004,1.0
haar,wht_mag,3,3,1,0.9926742710144829,1.8156028368794326
haar,wht_mag_phase,3,3,1,0.9471749720553265,10.24
haar,full,3,3,1,0.9587719990890118,8.752136752136753
haar,wht,4,4,1,1.0000000000000004,1.0
haar,wht_mag,4,4,1,0.9981288045445758,1.7534246575342465
haar,wht_mag_phase,4,4,1,0.9867077033909886,7.529411764705882
haar,full,4,4,1,0.9898891192431812,6.69281045751634
haar,wht,2,2,2,0.9999999999999998,1.0
haar,wht_mag,2,2,2,0.976731046121557,1.8754578754578755
haar,wht_mag_phase,2,2,2,0.790481601212108,15.515151515151516
haar,full,2,2,2,0.8405445264951222,12.337349397590362
haar,wht,3,3,2,0.9999999999999998,1.0
haar,wht_mag,3,3,2,0.9938444182649274,1.8156028368794326
haar,wht_mag_phase,3,3,2,0.9458282826483516,10.24
haar,full,3,3,2,0.9584845512894478,8.752136752136753
haar,wht,4,4,2,0.9999999999999998,1.0
haar,wht_mag,4,4,2,0.9979279526744669,1.7534246575342465
haar,wht_mag_phase,4,4,2,0.9848862384914415,7.529411764705882
haar,full,4,4,2,0.9889530868249108,6.69281045751634
haar,wht,2,2,3,1.0,1.0
haar,wht_mag,2,2,3,0.9789126248021414,1.8754578754578755
haar,wht_mag_phase,2,2,3,0.7948027480550647,15.515151515151516
haar,full,2,2,3,0.8431179886408338,12.337349397590362
haar,wht,3,3,3,1.0,1.0
haar,wht_mag,3,3,3,0.9940003810169116,1.8156028368794326
haar,wht_mag_phase,3,3,3,0.9421732741016307,10.24
haar,full,3,3,3,0.9568089712895368,8.752136752136753
haar,wht,4,4,3,1.0,1.0
haar,wht_mag,4,4,3,0.9980441886090635,1.7534246575342465
haar,wht_mag_phase,4,4,3,0.9852268817884366,7.529411764705882
haar,full,4,4,3,0.9890429022111974,6.69281045751634
haar,wht,2,2,4,0.9999999999999998,1.0
haar,wht_mag,2,2,4,0.9786618871013036,1.8754578754578755
haar,wht_mag_phase,2,2,4,0.7941618474376865,15.515151515151516
haar,full,2,2,4,0.8415246247411671,12.337349397590362
haar,wht,3,3,4,0.9999999999999998,1.0
haar,wht_mag,3,3,4,0.9937433175545684,1.8156028368794326
haar,wht_mag_phase,3,3,4,0.9432912700842631,10.24
haar,full,3,3,4,0.9560865646420547,8.752136752136753
