state_class,magnitude_quantizer,bits_per_magnitude,bits_per_phase,k,sample_idx,fidelity,compression_ratio
heisenberg,lloyd,2,2,,0,0.9583092139636031,12.337349397590362
heisenberg,topk,2,2,8.0,0,0.97857731721997,11.636363636363637
heisenberg,log,2,2,,0,0.4803040245495043,12.337349397590362
heisenberg,percentile,2,2,,0,0.9851136654752987,11.361997226074896
heisenberg,lloyd,3,3,,0,0.9668265143742997,8.752136752136753
heisenberg,topk,3,3,8.0,0,0.978960272072236,8.402051282051282
heisenberg,log,3,3,,0,0.5707950801278614,8.752136752136753
heisenberg,percentile,3,3,,0,0.9868049649477644,8.261187444850624
heisenberg,lloyd,4,4,,0,0.9709250238267999,6.69281045751634
heisenberg,topk,4,4,8.0,0,0.9814146477491649,6.491283676703645
heisenberg,log,4,4,,0,0.8326424635307932,6.69281045751634
heisenberg,percentile,4,4,,0,0.9880578185601556,6.408761979268531
heisenberg,lloyd,2,2,,1,0.9471923823983139,12.337349397590362
heisenberg,topk,2,2,8.0,1,0.9731144104791704,11.636363636363637
heisenberg,log,2,2,,1,0.4296237716498666,12.337349397590362
heisenberg,percentile,2,2,,1,0.9814880857611994,11.361997226074896
heisenberg,lloyd,3,3,,1,0.9672311452298001,8.752136752136753
heisenberg,topk,3,3,8.0,1,0.9789862297695783,8.402051282051282
heisenberg,log,3,3,,1,0.5843928531923466,8.752136752136753
heisenberg,percentile,3,3,,1,0.986741507226103,8.261187444850624
heisenberg,lloyd,4,4,,1,0.9714889372705473,6.69281045751634
heisenberg,topk,4,4,8.0,1,0.981406620105141,6.491283676703645
heisenberg,log,4,4,,1,0.82516084776261,6.69281045751634
heisenberg,percentile,4,4,,1,0.9880883230494272,6.408761979268531
heisenberg,lloyd,2,2,,2,0.9474658411600784,12.337349397590362
heisenberg,topk,2,2,8.0,2,0.9731043849144072,11.636363636363637
heisenberg,log,2,2,,2,0.4445862093749312,12.337349397590362
heisenberg,percentile,2,2,,2,0.9815836756117019,11.361997226074896
heisenberg,lloyd,3,3,,2,0.9676118446817314,8.752136752136753
heisenberg,topk,3,3,8.0,2,0.9787429302703781,8.402051282051282
heisenberg,log,3,3,,2,0.5882018949631496,8.752136752136753
heisenberg,percentile,3,3,,2,0.9868461071403427,8.261187444850624
heisenberg,lloyd,4,4,,2,0.9712278205871592,6.69281045751634
heisenberg,topk,4,4,8.0,2,0.9809620138617222,6.491283676703645
heisenberg,log,4,4,,2,0.8301884625765922,6.69281045751634
heisenberg,percentile,4,4,,2,0.9881347234863759,6.408761979268531
heisenberg,lloyd,2,2,,3,0.9522626620894891,12.337349397590362
heisenberg,topk,2,2,8.0,3,0.9748617713847065,11.636363636363637
heisenberg,log,2,2,,3,0.4887880317105052,12.337349397590362
heisenberg,percentile,2,2,,3,0.9824278449688851,11.361997226074896
heisenberg,lloyd,3,3,,3,0.9702479387999345,8.752136752136753
heisenberg,topk,3,3,8.0,3,0.9808695193067489,8.402051282051282
heisenberg,log,3,3,,3,0.603440155437648,8.752136752136753
heisenberg,percentile,3,3,,3,0.9879552008401524,8.261187444850624
heisenberg,lloyd,4,4,,3,0.972213315478597,6.69281045751634
heisenberg,topk,4,4,8.0,3,0.9823081978159605,6.491283676703645
heisenberg,log,4,4,,3,0.8317507803722181,6.69281045751634
heisenberg,percentile,4,4,,3,0.9890343109609441,6.408761979268531
heisenberg,lloyd,2,2,,4,0.9489560516300947,12.337349397590362
heisenberg,topk,2,2,8.0,4,0.9734148226714845,11.636363636363637
heisenberg,log,2,2,,4,0.46279236852694716,12.337349397590362
