state_class,sample_idx,k_star_50,k_star_90,k_star_99
haar,0,199,613,893
haar,1,186,593,877
haar,2,195,606,887
haar,3,197,608,877
haar,4,192,609,891
haar,5,194,611,883
haar,6,189,595,877
haar,7,191,603,884
haar,8,197,614,893
haar,9,188,603,892
haar,10,203,609,891
haar,11,193,602,883
haar,12,193,604,880
haar,13,198,609,886
haar,14,183,590,886
haar,15,183,585,877
haar,16,206,608,884
haar,17,196,601,891
haar,18,188,600,882
haar,19,194,615,884
tfim,0,3,42,206
tfim,1,3,42,206
tfim,2,3,42,206
tfim,3,3,42,206
tfim,4,3,42,206
tfim,5,3,42,206
tfim,6,3,42,206
tfim,7,3,42,206
tfim,8,3,42,206
tfim,9,3,42,206
tfim,10,3,42,206
tfim,11,3,42,206
tfim,12,3,42,206
tfim,13,3,42,206
tfim,14,3,42,206
tfim,15,3,42,206
tfim,16,3,42,206
tfim,17,3,42,206
tfim,18,3,42,206
tfim,19,3,42,206
mps,0,155,568,856
mps,1,141,523,845
mps,2,120,516,843
mps,3,159,571,870
mps,4,107,503,840
mps,5,165,566,856
mps,6,166,567,868
mps,7,167,580,871
mps,8,162,551,852
mps,9,117,505,837
mps,10,147,557,867
mps,11,156,549,855
mps,12,166,569,867
mps,13,104,464,813
mps,14,150,543,860
mps,15,131,528,852
mps,16,156,556,860
mps,17,75,414,795
mps,18,130,545,864
mps,19,136,539,862
heisenberg,0,12,56,123
heisenberg,1,12,56,123
heisenberg,2,12,56,123
heisenberg,3,12,56,123
heisenberg,4,12,56,123
heisenberg,5,12,56,123
heisenberg,6,12,56,123
heisenberg,7,12,56,123
heisenberg,8,12,56,123
heisenberg,9,12,56,123
heisenberg,10,12,56,123
heisenberg,11,12,56,123
heisenberg,12,12,56,123
heisenberg,13,12,56,123
heisenberg,14,12,56,123
heisenberg,15,12,56,123
heisenberg,16,12,56,123
heisenberg,17,12,56,123
heisenberg,18,12,56,123
heisenberg,19,12,56,123
mps_chi2,0,102,474,820
mps_chi2,1,24,174,487
mps_chi2,2,77,320,645
mps_chi2,3,58,320,674
mps_chi2,4,72,311,696
mps_chi2,5,59,306,659
mps_chi2,6,91,429,800
mps_chi2,7,29,249,643
mps_chi2,8,33,247,600
mps_chi2,9,41,244,581
mps_chi2,10,24,212,572
mps_chi2,11,83,404,764
mps_chi2,12,43,293,672
mps_chi2,13,73,313,593
mps_chi2,14,35,278,651
mps_chi2,15,61,328,690
mps_chi2,16,33,244,588
mps_chi2,17,129,446,790
mps_chi2,18,44,239,594
mps_chi2,19,35,224,582
mps_chi4,0,89,428,783
mps_chi4,1,106,457,815
mps_chi4,2,39,271,618
mps_chi4,3,74,381,748
mps_chi4,4,79,387,757
mps_chi4,5,77,412,777
mps_chi4,6,75,357,697
mps_chi4,7,62,336,684
mps_chi4,8,70,372,736
mps_chi4,9,70,345,688
mps_chi4,10,136,532,849
mps_chi4,11,75,399,776
mps_chi4,12,20,191,599
mps_chi4,13,39,308,717
mps_chi4,14,73,373,724
mps_chi4,15,63,364,744
mps_chi4,16,79,375,734
mps_chi4,17,53,327,706
mps_chi4,18,148,525,841
mps_chi4,19,66,375,750
clifford,0,129,231,254
clifford,1,256,461,507
clifford,2,513,922,1014
clifford,3,128,231,254
clifford,4,512,922,1014
clifford,5,257,461,507
clifford,6,256,461,507
clifford,7,512,922,1014
clifford,8,512,922,1014
clifford,9,257,461,507
clifford,10,256,461,507
clifford,11,256,461,507
clifford,12,128,231,254
clifford,13,513,922,1014
clifford,14,256,461,507
clifford,15,256,461,507
clifford,16,512,922,1014
clifford,17,256,461,507
clifford,18,129,231,254
clifford,19,129,231,254
