state_class,basis,threshold,sample_idx,k_star
haar,wht,0.5,0,199
haar,wht,0.9,0,613
haar,wht,0.99,0,893
haar,dct,0.5,0,199
haar,dct,0.9,0,614
haar,dct,0.99,0,895
haar,identity,0.5,0,192
haar,identity,0.9,0,615
haar,identity,0.99,0,888
haar,wht,0.5,1,186
haar,wht,0.9,1,593
haar,wht,0.99,1,877
haar,dct,0.5,1,193
haar,dct,0.9,1,600
haar,dct,0.99,1,884
haar,identity,0.5,1,189
haar,identity,0.9,1,595
haar,identity,0.99,1,880
haar,wht,0.5,2,195
haar,wht,0.9,2,606
haar,wht,0.99,2,887
haar,dct,0.5,2,194
haar,dct,0.9,2,606
haar,dct,0.99,2,887
haar,identity,0.5,2,190
haar,identity,0.9,2,587
haar,identity,0.99,2,874
haar,wht,0.5,3,197
haar,wht,0.9,3,608
haar,wht,0.99,3,877
haar,dct,0.5,3,192
haar,dct,0.9,3,610
haar,dct,0.99,3,878
haar,identity,0.5,3,188
haar,identity,0.9,3,605
haar,identity,0.99,3,893
haar,wht,0.5,4,192
haar,wht,0.9,4,609
haar,wht,0.99,4,891
haar,dct,0.5,4,188
haar,dct,0.9,4,597
haar,dct,0.99,4,881
haar,identity,0.5,4,191
haar,identity,0.9,4,598
haar,identity,0.99,4,878
haar,wht,0.5,5,194
haar,wht,0.9,5,611
haar,wht,0.99,5,883
haar,dct,0.5,5,192
haar,dct,0.9,5,593
haar,dct,0.99,5,877
haar,identity,0.5,5,189
haar,identity,0.9,5,586
haar,identity,0.99,5,872
haar,wht,0.5,6,189
haar,wht,0.9,6,595
haar,wht,0.99,6,877
haar,dct,0.5,6,207
haar,dct,0.9,6,613
haar,dct,0.99,6,892
haar,identity,0.5,6,194
haar,identity,0.9,6,610
haar,identity,0.99,6,889
haar,wht,0.5,7,191
haar,wht,0.9,7,603
haar,wht,0.99,7,884
haar,dct,0.5,7,183
haar,dct,0.9,7,591
haar,dct,0.99,7,873
haar,identity,0.5,7,194
haar,identity,0.9,7,604
haar,identity,0.99,7,879
haar,wht,0.5,8,197
haar,wht,0.9,8,614
haar,wht,0.99,8,893
haar,dct,0.5,8,199
haar,dct,0.9,8,606
haar,dct,0.99,8,891
haar,identity,0.5,8,193
haar,identity,0.9,8,596
haar,identity,0.99,8,878
haar,wht,0.5,9,188
haar,wht,0.9,9,603
haar,wht,0.99,9,892
haar,dct,0.5,9,196
haar,dct,0.9,9,608
haar,dct,0.99,9,887
haar,identity,0.5,9,195
haar,identity,0.9,9,602
haar,identity,0.99,9,883
haar,wht,0.5,10,203
haar,wht,0.9,10,609
haar,wht,0.99,10,891
haar,dct,0.5,10,191
haar,dct,0.9,10,604
haar,dct,0.99,10,881
haar,identity,0.5,10,184
haar,identity,0.9,10,593
haar,identity,0.99,10,874
haar,wht,0.5,11,193
haar,wht,0.9,11,602
haar,wht,0.99,11,883
haar,dct,0.5,11,208
haar,dct,0.9,11,617
haar,dct,0.99,11,886
haar,identity,0.5,11,190
haar,identity,0.9,11,595
haar,identity,0.99,11,872
haar,wht,0.5,12,193
haar,wht,0.9,12,604
haar,wht,0.99,12,880
haar,dct,0.5,12,185
haar,dct,0.9,12,603
haar,dct,0.99,12,886
haar,identity,0.5,12,192
haar,identity,0.9,12,592
haar,identity,0.99,12,878
haar,wht,0.5,13,198
haar,wht,0.9,13,609
haar,wht,0.99,13,886
haar,dct,0.5,13,186
haar,dct,0.9,13,583
haar,dct,0.99,13,864
haar,identity,0.5,13,191
haar,identity,0.9,13,602
haar,identity,0.99,13,889
haar,wht,0.5,14,183
haar,wht,0.9,14,590
haar,wht,0.99,14,886
haar,dct,0.5,14,196
haar,dct,0.9,14,609
haar,dct,0.99,14,881
haar,identity,0.5,14,187
haar,identity,0.9,14,600
haar,identity,0.99,14,883
haar,wht,0.5,15,183
haar,wht,0.9,15,585
haar,wht,0.99,15,877
haar,dct,0.5,15,191
haar,dct,0.9,15,608
haar,dct,0.99,15,883
haar,identity,0.5,15,199
haar,identity,0.9,15,607
haar,identity,0.99,15,870
haar,wht,0.5,16,206
haar,wht,0.9,16,608
haar,wht,0.99,16,884
haar,dct,0.5,16,193
haar,dct,0.9,16,604
haar,dct,0.99,16,892
haar,identity,0.5,16,192
haar,identity,0.9,16,609
haar,identity,0.99,16,890
haar,wht,0.5,17,196
haar,wht,0.9,17,601
haar,wht,0.99,17,891
haar,dct,0.5,17,200
haar,dct,0.9,17,616
haar,dct,0.99,17,882
haar,identity,0.5,17,188
haar,identity,0.9,17,597
haar,identity,0.99,17,880
haar,wht,0.5,18,188
haar,wht,0.9,18,600
haar,wht,0.99,18,882
haar,dct,0.5,18,192
haar,dct,0.9,18,604
haar,dct,0.99,18,876
haar,identity,0.5,18,191
haar,identity,0.9,18,606
haar,identity,0.99,18,885
haar,wht,0.5,19,194
haar,wht,0.9,19,615
haar,wht,0.99,19,884
haar,dct,0.5,19,192
