state_class,basis,k_mean,k_std
clifford,dct,599.05,32.96325705675145
clifford,identity,668.45,235.3025991311926
clifford,wht,541.8,272.3246128003161
haar,dct,604.7,8.578430723868468
haar,identity,599.95,7.598303134668668
haar,wht,603.9,8.11690892682158
heisenberg,dct,95.0,0.0
heisenberg,identity,56.0,0.0
heisenberg,wht,56.0,0.0
mps,dct,566.9,22.796352432144193
mps,identity,544.05,23.229914923830865
mps,wht,535.7,40.56067579630092
mps_chi2,dct,375.35,71.2344350496451
mps_chi2,identity,273.55,91.91556480069946
mps_chi2,wht,302.75,81.47965519395817
mps_chi4,dct,465.65,50.05604753410763
mps_chi4,identity,406.5,52.860790363886316
mps_chi4,wht,375.75,77.16685612496161
tfim,dct,27.0,0.0
tfim,identity,339.0,0.0
tfim,wht,42.0,0.0
